genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Molleriella	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Sphaceloma	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Anhellia	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material		non-aquatic	animal_parasite		filamentous_mycelium						
Ascostratum	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Butleria	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Dictyocyclus	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Eurytheca	animal_parasite	animal_decomposer	no_endophytic_capacity		animal_material		non-aquatic	animal_parasite		filamentous_mycelium						
Hemimyriangium	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Mendogia	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Micularia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Myriangium	animal_parasite	animal_decomposer			animal_material		non-aquatic	arthropod_parasite	scale_insects	filamentous_mycelium						
